,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
91,Viognier 2015,France,Vin de Pays,Bomont de Cormeil,4.1,35,18.9,2015,White
92,Viognier 2016,France,Pays d'Oc,Baron Philippe de Rothschild,3.7,35,8.69,2016,White
93,Chassagne-Montrachet Premier Cru 2017,France,Chassagne-Montrachet Premier Cru,Louis Latour,4.0,35,59.99,2017,White
94,Picpoul de Pinet 2017,France,Picpoul de Pinet,Mas des Mas,3.3,35,8.68,2017,White
95,Colombard - Ugni Blanc 2018,France,Côtes de Gascogne,Château de Millet,3.3,35,5.5,2018,White
96,Hermitage Le Chevalier de Sterimberg 2017,France,Hermitage,Paul Jaboulet Aîné,4.3,35,78.75,2017,White
97,Gewürztraminer 2018,France,Alsace,Boeckel,3.4,35,12.95,2018,White
98,Riesling Alsace Grand Cru 'Engelberg' 2016,France,Alsace Grand Cru 'Engelberg',Domaine Pfister,4.3,35,28.5,2016,White
99,Châteauneuf-du-Pape (La Crau) Blanc 2017,France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,3.9,35,73.29,2017,White
100,Riesling Alsace Grand Cru 'Schlossberg' 2014,France,Alsace Grand Cru 'Schlossberg',Trimbach,4.0,36,48.45,2014,White
101,La Croix Boissée Chinon Blanc 2018,France,Chinon,Bernard Baudry,4.2,36,24.95,2018,White
102,Mercurey 'En Pierrelet' Blanc 2016,France,Mercurey,Château de Chamirey,4.1,36,38.75,2016,White
103,Chardonnay 2019,France,Pays d'Oc,Les Jamelles,3.6,36,6.05,2019,White
104,Rully 1er Cru 'Rabourcé' 2017,France,Rully 1er Cru 'Rabourcé',Domaine Belleville,4.1,36,31.0,2017,White
105,Domaine Sainte Barbe La Perrière Viré-Clessé 2016,France,Viré-Clessé,Chaland Jean-Marie,3.7,36,20.37,2016,White
106,Réserve Graves Blanc 2017,France,Graves,Mouton Cadet,3.4,36,14.83,2017,White
107,Little James' Basket Press Blanc 2019,France,Pays d'Oc,Château de Saint Cosme,3.6,36,7.9,2019,White
108,Chardonnay 2018,France,Pays d'Oc,Les Salices,3.5,36,7.1,2018,White
109,Chardonnay 2019,France,Côtes de Thongue,Domaine Montrose,3.5,36,8.69,2019,White
110,Les Princes Abbés Muscat Alsace 2018,France,Alsace,Domaines Schlumberger,3.6,36,16.4,2018,White
111,Chassagne-Montrachet 1er Cru 'Les Chaumées' 2014,France,Chassagne-Montrachet 1er Cru 'Les Chaumes',Vincent Girardin,4.3,36,65.9,2014,White
112,Meursault 1er Cru 'Les Charmes-Dessus' 2013,France,Meursault 1er Cru 'Charmes',Vincent Girardin,4.2,37,84.9,2013,White
113,Petit Chablis 2018,France,Petit Chablis,Louis Michel & Fils,3.7,37,19.35,2018,White
114,Amstramgram Quartier Libre 2018,France,Languedoc-Roussillon,Calmel & Joseph,3.4,37,7.75,2018,White
115,Fief Guérin Vieilles Vignes Muscadet Côtes de Grandlieu Sur Lie 2018,France,Muscadet-Côtes de Grandlieu,Domaine des Herbauges,3.4,37,10.69,2018,White
116,Côtes De Gascogne Amplitude 2018,France,Côtes de Gascogne,Domaine du Tariquet,3.4,37,9.0,2018,White
117,Châteauneuf-du-Pape Blanc 2017,France,Châteauneuf-du-Pape,Domaine de Beaurenard,4.0,37,35.0,2017,White
118,Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc 2017,France,Chassagne-Montrachet 1er Cru 'Morgeot',Louis Jadot - Domaine Duc de Magenta,4.4,37,98.15,2017,White
119,Corton-Charlemagne Grand Cru 2017,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.5,38,184.23,2017,White
120,101 Rangs Pouilly-Fumé 2016,France,Pouilly-Fumé,Château de Tracy,4.1,38,64.34,2016,White
121,Cuvée Passion Bordeaux Blanc 2016,France,Bordeaux,Château Tour de Mirambeau,3.7,38,15.5,2016,White
122,Beaune du Château Premier Cru Blanc 2016,France,Beaune Premier Cru,Bouchard Père & Fils,3.9,38,38.56,2016,White
123,Hermitage Le Chevalier de Sterimberg 2006,France,Hermitage,Paul Jaboulet Aîné,4.1,38,77.35,2006,White
124,Meursault 1er Cru 'Genevrières' Blanc 2016,France,Meursault 1er Cru 'Genevrières',Bouchard Père & Fils,4.2,39,94.57,2016,White
125,Ermitage Ex-Voto Blanc 2012,France,Hermitage,E. Guigal,4.4,39,189.0,2012,White
126,Saumur Blanc 2017,France,Saumur,Langlois-Chateau,3.7,39,12.14,2017,White
127,Coume Gineste Côtes Catalanes 2011,France,Côtes Catalanes,Gauby,3.8,39,67.26,2011,White
128,Meursault 'Les Chevalières' 2017,France,Meursault,Xavier Monnot,4.2,39,62.5,2017,White
129,Villa Paulus Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Masson-Blondelet,3.9,39,18.04,2018,White
130,Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.3,40,189.0,2015,White
131,Les Châtillons Chablis 2015,France,Chablis,Domaine des Hâtes,4.1,40,19.43,2015,White
132,Chassagne-Montrachet Blanc 2016,France,Chassagne-Montrachet,Louis Jadot,4.4,40,71.39,2016,White
133,Les Vignes de Saint Laurent l'Abbaye Pouilly-Fumé 2017,France,Pouilly-Fumé,Domaine Chatelain,3.9,40,13.6,2017,White
134,Meursault 1er Cru Les Genevrières 2015,France,Meursault Premier Cru,Domaine Henri Boillot,4.2,40,119.0,2015,White
135,Les Chailloux Silex Pouilly-Fumé 2018,France,Pouilly-Fumé,Domaine Chatelain,3.8,40,14.55,2018,White
136,Genèse Riesling 2011,France,Alsace,Vignoble des 2 Lunes,4.0,40,14.57,2011,White
137,Terroir d'Altitude Chardonnay 2017,France,Pays d'Oc,Fortant,3.9,40,9.5,2017,White
138,Saint-Véran 2018,France,Saint-Véran,Trénel,3.8,40,14.95,2018,White
139,Petit Chablis 2018,France,Petit Chablis,Domaine Philippe Goulley,3.6,41,17.2,2018,White
140,Chardonnay 2018,France,Pays d'Oc,Cap Cette,3.3,41,7.5,2018,White
141,La Soufrandiére Le Clos de Grand Pére Macon-Vinzelles 2017,France,Mâcon-Vinzelles,Bret Brothers & The Soufrandière,4.1,41,27.5,2017,White
142,Pouilly-Fumé Terres Blanches 2018,France,Pouilly-Fumé,Pascal Jolivet,3.8,41,26.18,2018,White
143,Domaine Sainte Barbe Les Tilles Mâcon-Villages 2018,France,Mâcon-Villages,Chaland Jean-Marie,3.6,41,14.5,2018,White
144,Montagny 1er Cru 'Les Saint Morilles' 2015,France,Montagny 1er Cru 'Saint-Morille',Berthenet,3.7,41,19.37,2015,White
145,Sancerre Blanc 2017,France,Sancerre,Langlois-Chateau,3.7,41,10.0,2017,White
146,Vieilles Vignes Châteauneuf-du-Pape Blanc 2015,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,41,154.99,2015,White
147,Estate Gewürztraminer 2013,France,Alsace Grand Cru,Hugel,4.0,41,20.47,2013,White
148,Pinot Blanc Tradition 2018,France,Alsace,Emile Beyer,4.0,42,11.49,2018,White
149,Leflaive & Associes Auxey-Duresses 2016,France,Auxey-Duresses,Domaine Leflaive,3.9,42,49.9,2016,White
150,Lou Coucardié Blanc 2015,France,Costières-de-Nîmes,Michel Gassier,4.0,42,23.05,2015,White
151,La Femme Soleil 2018,France,Languedoc-Roussillon,Domaine Hors Champ,3.4,42,21.45,2018,White
152,Meursault Premier Cru 'Les Charmes' 2017,France,Meursault 1er Cru 'Charmes',Domaine du Pavillon,4.2,42,70.0,2017,White
153,Picpoul de Pinet 2019,France,Picpoul de Pinet,Domaine de Belle Mare,3.9,43,6.73,2019,White
154,Corton-Charlemagne Grand Cru Blanc 2016,France,Corton-Charlemagne Grand Cru,Bouchard Père & Fils,4.5,43,178.96,2016,White
155,Chablis 2018,France,Chablis,Domaine Philippe Goulley,3.8,43,19.95,2018,White
156,Muscadet-Sèvre et Maine Sur Lie 2019,France,Muscadet-Sevre et Maine,Pépière,3.6,43,9.36,2019,White
157,Riesling Alsace Grand Cru 'Sommerberg' 2016,France,Alsace Grand Cru 'Sommerberg',Albert Boxler,4.0,43,53.22,2016,White
158,Riesling Alsace 2015,France,Alsace,Kuehn,3.6,43,8.48,2015,White
159,Puligny-Montrachet 2017,France,Puligny-Montrachet,Domaine Henri Boillot,4.3,43,59.9,2017,White
160,Pinot Gris Tradition 2017,France,Alsace,Emile Beyer,3.8,43,13.2,2017,White
161,Hermitage Le Chevalier de Sterimberg 2016,France,Hermitage,Paul Jaboulet Aîné,4.2,43,78.75,2016,White
162,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine Henri Boillot,4.5,43,189.0,2016,White
163,Sancerre Blanc 2018,France,Sancerre,Michel Thomas & Fils,3.7,43,18.08,2018,White
164,Meursault-Charmes Premier Cru 2016,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,3.8,43,86.62,2016,White
165,Pouilly-Fumé 2016,France,Pouilly-Fumé,Langlois-Chateau,3.7,44,21.66,2016,White
166,Mâcon-Villages 2016,France,Mâcon-Villages,Daniel Pollier,3.6,44,9.54,2016,White
167,Chablis 2018,France,Chablis,Joseph Drouhin,3.6,44,19.3,2018,White
168,Château-Thébaud 2014,France,Muscadet-Sevre et Maine,Pépière,4.0,44,17.06,2014,White
169,Riesling Alsace Grand Cru 'Kitterlé' 2017,France,Alsace Grand Cru 'Kitterle',Domaines Schlumberger,3.9,44,25.24,2017,White
170,Côte de Rouffach Gewürztraminer 2016,France,Alsace,René Muré,3.9,44,15.5,2016,White
171,Classic Graves Blanc 2016,France,Graves,Château Brondelle,3.6,44,11.95,2016,White
172,Les Menétrieres Pouilly-Fuissé (Cuvée Hors-Classe) 2016,France,Pouilly-Fuissé,J.A. Ferret,4.4,44,63.06,2016,White
173,Ermitage de l'Orée 2004,France,Hermitage,M. Chapoutier,4.8,44,189.95,2004,White
174,Signature Blanc 2019,France,Côtes de Gascogne,Domaine Saint-Lannes,3.7,44,5.95,2019,White
175,Châteauneuf-du-Pape La Bernardine Blanc 2016,France,Châteauneuf-du-Pape,M. Chapoutier,3.6,44,33.46,2016,White
176,Les Vieilles Vignes Meursault 2016,France,Meursault,Vincent Girardin,4.0,44,70.3,2016,White
177,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Joseph Drouhin,4.3,45,195.0,2016,White
178,Sauvignon Blanc Bordeaux 2010,France,Bordeaux,Dourthe N°1,3.0,45,8.95,2010,White
179,Domaine de Fontenille Pouilly-Fumé 2018,France,Pouilly-Fumé,Patrick Maudry,3.9,45,18.97,2018,White
180,Les Deux Tours Sauvignon Blanc 2018,France,Loire Valley,de Ladoucette,4.0,46,15.3,2018,White
181,Classic Riesling 2018,France,Alsace,Hugel,3.7,46,14.75,2018,White
182,La Falaise Languedoc Blanc 2016,France,Languedoc,Château la Négly,4.1,46,19.01,2016,White
183,Bordeaux Blanc 2016,France,Bordeaux,Château de Ricaud,3.4,46,7.44,2016,White
184,Riesling Alsace 2016,France,Alsace,Kuehn,3.7,46,8.48,2016,White
185,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Domaine des Héritiers Louis Jadot,4.4,47,189.39,2016,White
186,Chardonnay 2018,France,Pays d'Oc,Croix d'Or,3.8,47,6.9,2018,White
187,Châteauneuf-du-Pape Vieilles Vignes Blanc 2006,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,47,46.95,2006,White
188,Chablis Vieilles Vignes 2017,France,Chablis,Château de Chemilly,4.0,47,16.5,2017,White
189,Bourgogne Hautes-Côtes de Beaune Chardonnay 2018,France,Bourgogne Hautes-Côtes de Beaune,Domaine Henri Delagrange et Fils,3.4,47,16.83,2018,White
190,Chassagne-Montrachet 1er Cru 'Cailleret' 2012,France,Chassagne-Montrachet 1er Cru 'Cailleret',Jean-Marc Morey,4.0,47,86.62,2012,White
191,Mâcon-Verzé 2018,France,Mâcon-Villages,Domaine Leflaive,4.1,47,31.9,2018,White
192,La Galopine Condrieu 2017,France,Condrieu,Delas,4.1,48,44.75,2017,White
193,Le G de Guiraud Bordeaux Blanc Sec 2019,France,Bordeaux,Château Guiraud,4.0,48,14.52,2019,White
194,Les Côtes aux Valets Sancerre Blanc 2015,France,Sancerre,Henri Bourgeois,4.2,48,50.69,2015,White
195,Pouilly-Fuissé Vielles Vignes 2016,France,Pouilly-Fuissé,Daniel Pollier,3.7,48,16.08,2016,White
196,Grand Marrenon Blanc 2018,France,Luberon,Marrenon,3.5,48,11.5,2018,White
197,Sauvignon 2018,France,Bordeaux,Le Petit Baigneur,3.4,49,6.49,2018,White
198,Riesling 2015,France,Alsace,Albert Boxler,4.0,49,25.44,2015,White
199,Meursault 'Les Narvaux' 2017,France,Meursault,David Moret-Nomine,4.2,49,63.9,2017,White
200,Luberon 2019,France,Luberon,Famille Perrin,3.6,49,5.71,2019,White
201,Montserre Chablis 2017,France,Chablis,Château de Béru,4.2,49,35.0,2017,White
202,Les Grands Calcaires Cotes du Rhône 2017,France,Côtes-du-Rhône,Domaine Santa Duc,3.6,49,9.2,2017,White
203,Meursault-Charmes Premier Cru 2015,France,Meursault 1er Cru 'Charmes',Domaine Jean Monnier & Fils,4.2,49,90.2,2015,White
204,Chablis Grand Cru 'Les Preuses' 2015,France,Chablis Grand Cru 'Preuses',Domaine William Fèvre,4.1,49,97.81,2015,White
205,Vieilles Vignes Chablis 2013,France,Chablis,Roland Lavantureux,3.9,49,52.0,2013,White
206,Les Cépages Sauvignon Blanc 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.1,50,7.75,2018,White
207,Condrieu 2017,France,Condrieu,Tardieu-Laurent,3.8,50,47.2,2017,White
208,Viré-Clessé 2015,France,Viré-Clessé,Chanson,3.8,50,18.08,2015,White
209,Nicole Vineyard Viognier Réserve 2019,France,Pays d'Oc,Paul Mas,3.7,50,8.32,2019,White
210,Chablis 1er Cru 'Vau Ligneau' 2018,France,Chablis 1er Cru 'Vau Ligneau',Alain Geoffroy,3.6,50,24.18,2018,White
211,Blandine Le Blanc 2018,France,Côtes de Gascogne,Château du Cèdre,3.6,50,5.9,2018,White
212,Petit Chablis 2017,France,Petit Chablis,Château de Chemilly,4.0,50,13.9,2017,White
213,Les Vieilles Vignes Chablis 2017,France,Chablis,Pascal Bouchard,4.1,51,23.5,2017,White
214,Extra Blanc 2018,France,Languedoc-Roussillon,Gérard Bertrand,3.4,51,10.68,2018,White
215,Petit Salé de Villeneuve 2019,France,Provence,Château de Roquefort,3.7,52,12.9,2019,White
216,Gorges 2015,France,Muscadet-Sevre et Maine,Pépière,3.9,52,17.06,2015,White
217,Gewürztraminer Alsace Grand Cru Hatschbourg 2017,France,Alsace Grand Cru,Wolfberger,4.0,52,18.42,2017,White
218,Héritage Chardonnay 2018,France,Pays d'Oc,Château Guilhem,3.7,52,6.58,2018,White
219,Mercurey Clos Rochette 2018,France,Mercurey,Faiveley,4.1,53,20.95,2018,White
220,Chablis 2018,France,Chablis,Domaine des Héritières,3.6,53,15.06,2018,White
221,Vignes Blanches Pouilly-Fuissé 2016,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,3.9,53,24.95,2016,White
222,Chablis 2018,France,Chablis,Chartron et Trébuchet,3.8,53,22.95,2018,White
223,La Fontaine Aux Enfants Cru d'Alsace 2016,France,Alsace,Marc Kreydenweiss,3.7,53,22.0,2016,White
224,Gewurztraminer 2016,France,Alsace,Jean-Rémy Haeffelin,3.6,54,10.71,2016,White
225,La Fontaine Aux Enfants Cru d'Alsace 2015,France,Alsace,Marc Kreydenweiss,3.8,54,22.0,2015,White
226,Côtes du Rhône Blanc 2018,France,Côtes-du-Rhône,Domaine de la Solitude,4.0,54,8.5,2018,White
227,Cuvée Vauban Pouilly-Vinzelles 2014,France,Pouilly-Vinzelles,Château de Vinzelles,3.8,54,17.54,2014,White
228,Pinot Gris Alsace Grand Cru 'Kitterlé' 2010,France,Alsace Grand Cru,Domaines Schlumberger,3.9,54,35.58,2010,White
229,Sancerre Grande Cuvée Blanc 2017,France,Sancerre,Comte Lafond,4.2,54,38.9,2017,White
230,Chardonnay 2018,France,Côtes de Thongue,Domaine Montrose,3.7,54,8.39,2018,White
231,Riesling 2016,France,Alsace,Albert Boxler,3.9,54,26.32,2016,White
232,Schiste 2018,France,Vins des Allobroges,Domaine des Ardoisieres,4.3,54,44.85,2018,White
233,Saint-Véran 2016,France,Saint-Véran,Les Héritiers du Comte Lafon,4.0,55,36.33,2016,White
234,Chablis Premier Cru Fourchaume 2017,France,Chablis Premier Cru,Domaine William Fèvre,4.2,55,49.37,2017,White
235,Côtes-Du-Rhône Guy Louis Blanc 2017,France,Côtes-du-Rhône,Tardieu-Laurent,3.7,55,19.8,2017,White
236,Condrieu 2018,France,Condrieu,E. Guigal,3.9,55,45.0,2018,White
237,Mercurey Blanc 2017,France,Mercurey,Château de Chamirey,4.0,55,32.0,2017,White
238,Pouilly-Fuissé Clos Sur la Roche 2017,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,4.2,55,28.07,2017,White
239,Saint-Romain 2017,France,Saint-Romain,David Moret-Nomine,4.3,55,29.9,2017,White
240,Sancerre 'Les Caillottes' 2019,France,Sancerre,Dauny,3.8,56,15.7,2019,White
241,Corton-Charlemagne Grand Cru 2016,France,Corton-Charlemagne Grand Cru,Vincent Girardin,4.5,56,156.7,2016,White
242,Centenaire Côtes du Roussillon Blanc 2018,France,Côtes du Roussillon,Domaine Lafage,3.7,56,12.1,2018,White
