,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
93,Côtes de Provence Spéciale Rosé 2018,France,Côtes de Provence,Château Montaud,3.6,178,7.5,2018,Rose
94,Rosé 2019,France,Languedoc-Roussillon,Claude Val,3.8,180,4.95,2019,Rose
95,Sancerre Rosé 2019,France,Sancerre,Michel Thomas & Fils,3.9,190,13.57,2019,Rose
96,The Palm Whispering Angel Rosé 2019,France,Provence,Château d'Esclans,3.9,195,13.15,2019,Rose
97,Côtes-du-Rhône Rosé 2018,France,Côtes-du-Rhône,E. Guigal,3.6,207,13.04,2018,Rose
98,Sancerre Les Baronnes Rosé 2018,France,Sancerre,Henri Bourgeois,3.8,215,17.95,2018,Rose
99,Rosé d'Anjou 2018,France,Rosé d'Anjou,Elysis,3.8,220,6.45,2018,Rose
100,Le Rosé 2019,France,Côtes du Roussillon,Château Saint-Roch,4.1,220,9.25,2019,Rose
101,Tavel 2016,France,Tavel,E. Guigal,3.6,225,15.5,2016,Rose
102,Les Fumées Blanches Rosé 2019,France,Vin de France,François Lurton,3.6,230,7.89,2019,Rose
103,Studio 2019,France,Côtes de Provence,Miraval,3.6,239,10.86,2019,Rose
104,Argali Rosé 2019,France,Languedoc-Roussillon,Château Puech-Haut,4.0,239,15.0,2019,Rose
105,Pétale de Rosé 2017,France,Côtes de Provence,Château La Tour de l'Évêque,3.8,240,15.55,2017,Rose
106,Château de Selle Rosé (Coeur de Grain) 2014,France,Côtes de Provence,Domaines Ott,4.2,256,28.9,2014,Rose
107,Rosé et Or 2019,France,Côtes de Provence,Minuty,4.3,273,24.85,2019,Rose
108,Ribet Pink Syrah Rosé 2019,France,Pays d'Oc,Arrogant Frog,3.7,280,6.53,2019,Rose
109,Rosé 2019,France,Vin de France,La Vieille Ferme,3.5,317,6.86,2019,Rose
110,Rosé 2019,France,Côtes de Thongue,Domaine Montrose,3.8,327,8.99,2019,Rose
