,Unnamed: 0,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
2876,2906,Bourgogne Aligoté 2018,France,Bourgogne Aligoté,Joseph Drouhin,3.6,215,10.62,2018.0,White
2877,2907,Domaine de L'Aigle Chardonnay Limoux 2018,France,Limoux,Gérard Bertrand,4.1,215,17.99,2018.0,White
2878,2908,Chablis 2016,France,Chablis,Chanson,3.8,216,18.2,2016.0,White
2879,2909,Vire-Clessé 2016,France,Viré-Clessé,Les Héritiers du Comte Lafon,4.0,222,29.9,2016.0,White
2880,2910,Novellum Chardonnay 2018,France,Languedoc-Roussillon,Domaine Lafage,3.8,222,8.29,2018.0,White
2881,2911,Pouilly-Fumé 2018,France,Pouilly-Fumé,Château Favray,4.0,222,14.13,2018.0,White
2882,2912,Réserve Spéciale Chardonnay 2018,France,Pays d'Oc,Gérard Bertrand,3.7,226,8.32,2018.0,White
2883,2913,Chardonnay 2018,France,Pays d'Oc,Baron Philippe de Rothschild,3.5,226,8.78,2018.0,White
2884,2914,Les Tourelles de la Crée Montagny Premier Cru 2016,France,Montagny Premier Cru,Château de la Crée,4.1,227,43.28,2016.0,White
2885,2915,Meursault 2017,France,Meursault,Louis Jadot,4.3,229,56.26,2017.0,White
2886,2916,Bordeaux Blanc 2018,France,Bordeaux,Baron Philippe de Rothschild,3.2,231,9.95,2018.0,White
2887,2917,Chablis 2018,France,Chablis,Simonnet-Febvre,3.8,238,19.69,2018.0,White
2888,2918,Chablis 2018,France,Chablis,Domaine William Fèvre,3.9,238,24.99,2018.0,White
2889,2919,Pouilly-Fuissé 2017,France,Pouilly-Fuissé,J.A. Ferret,4.1,239,36.52,2017.0,White
2890,2920,Côte des Roses Chardonnay 2018,France,Pays d'Oc,Gérard Bertrand,3.6,239,10.4,2018.0,White
2891,2921,Pouilly-Vinzelles 2016,France,Pouilly-Vinzelles,Joseph Drouhin,3.9,239,24.01,2016.0,White
2892,2922,Condrieu 2017,France,Condrieu,E. Guigal,4.0,240,37.97,2017.0,White
2893,2923,Chablis Premier Cru 'Montée de Tonnerre' 2016,France,Chablis Premier Cru,Louis Michel & Fils,4.2,241,36.99,2016.0,White
2894,2924,Sancerre Blanc 2018,France,Sancerre,Domaine du Nozay,3.8,244,17.84,2018.0,White
2895,2925,Sancerre Blanc 2018,France,Sancerre,Comte Lafond,4.0,244,28.9,2018.0,White
2896,2926,Corton-Charlemagne Grand Cru 1999,France,Corton-Charlemagne Grand Cru,Bonneau du Martray,4.2,246,217.95,1999.0,White
2897,2928,Graves Blanc 2012,France,Graves,Clos Floridène,3.8,253,22.32,2012.0,White
2898,2929,Viognier 2018,France,Rhone Valley,Paul Jaboulet Aîné,3.6,254,7.7,2018.0,White
2899,2930,Crozes Hermitage Domaine Mule Blanche 2017,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,254,37.79,2017.0,White
2900,2931,Pinot Gris Alsace Réserve Personnelle 2013,France,Alsace,Trimbach,4.1,255,31.03,2013.0,White
2901,2932,Mâcon-Milly-Lamartine 2015,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.9,260,25.92,2015.0,White
2902,2933,Vouvray Classic 2018,France,Vouvray,Marc Brédif,4.0,262,14.9,2018.0,White
2903,2934,Chablis 2017,France,Chablis,Domaine Jean Collet,4.0,262,15.5,2017.0,White
2904,2935,Cuvée Silex Vouvray 2018,France,Vouvray,Vigneau-Chevreau,3.9,263,13.5,2018.0,White
2905,2936,Mâcon-Villages 2018,France,Mâcon-Villages,Les Héritiers du Comte Lafon,3.8,265,18.9,2018.0,White
2906,2937,Réserve Spéciale Viognier 2017,France,Pays d'Oc,Gérard Bertrand,3.6,266,9.56,2017.0,White
2907,2938,Montagny 1er Cru La Grande Roche 2018,France,Montagny Premier Cru,Louis Latour,3.9,266,17.45,2018.0,White
2908,2939,Légende (R) Bordeaux Blanc 2017,France,Bordeaux,Barons de Rothschild (Lafite),3.8,266,12.14,2017.0,White
2909,2940,Gewürztraminer Réserve 2018,France,Alsace,Lucien Albrecht,4.0,267,11.36,2018.0,White
2910,2941,Hermitage Le Chevalier de Sterimberg 2015,France,Hermitage,Paul Jaboulet Aîné,4.2,272,82.48,2015.0,White
2911,2942,Petit Chablis 2018,France,Petit Chablis,Domaine Hamelin,3.9,273,12.9,2018.0,White
2912,2943,Sauvignon Blanc 2018,France,Pays d'Oc,Paul Mas,3.7,274,5.64,2018.0,White
2913,2944,Clos de la Coulée de Serrant 2015,France,Savennières-Coulée-de-Serrant,Nicolas Joly,4.2,275,72.5,2015.0,White
2914,2945,Saint-Véran 2018,France,Saint-Véran,Joseph Drouhin,3.8,277,16.6,2018.0,White
2915,2946,Mâcon-Milly-Lamartine 2016,France,Mâcon-Milly-Lamartine,Les Héritiers du Comte Lafon,3.8,279,22.5,2016.0,White
2916,2947,Chablis 2018,France,Chablis,Domaine des Malandes,3.8,280,16.09,2018.0,White
2917,2948,Le G de Guiraud Bordeaux Blanc Sec 2018,France,Bordeaux,Château Guiraud,3.9,282,19.45,2018.0,White
2918,2949,Sauvignon Touraine 2018,France,Touraine,Domaine de la Chaise,4.0,282,7.4,2018.0,White
2919,2950,Sauvignon Blanc Bordeaux 2018,France,Bordeaux,Dourthe N°1,3.6,285,7.7,2018.0,White
2920,2951,Corton-Charlemagne Grand Cru 2015,France,Corton-Charlemagne Grand Cru,Louis Latour,4.5,288,116.0,2015.0,White
